id,title,description,category,price,image_url,image_path
20,Black Running Shoes,Lightweight running shoes with cushioned sole. Comfortable for long runs.,footwear_athletic,89.99,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=600&auto=format,data\images\product_20.jpg
21,Brown Leather Oxfords,Classic brown leather oxford shoes. Perfect for formal occasions.,footwear_formal,119.99,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&auto=format,data\images\product_21.jpg
22,Tan Suede Chelsea Boots,Stylish tan suede Chelsea boots with elastic side panels. Versatile and comfortable.,footwear_boots,149.99,https://images.unsplash.com/photo-1638247025967-b4e38f787b76?w=600&auto=format,data\images\product_22.jpg
23,Canvas Slip-on Shoes,Casual canvas slip-on shoes. Easy to wear and comfortable for everyday use.,footwear_casual,49.99,https://images.unsplash.com/photo-1573100925118-870b8efc799d?w=600&auto=format,data\images\product_23.jpg
24,Floral Summer Dress,Light floral print dress for summer. Comfortable and stylish.,dresses_casual,79.99,https://images.unsplash.com/photo-1623609163859-ca93c959b5b8?w=600&auto=format,
25,Gray Formal Suit,Elegant gray suit for formal occasions. Tailored fit and high-quality fabric.,formal_suits,299.99,https://images.unsplash.com/photo-1593032465175-481ac7f401a0?w=600&auto=format,data\images\product_25.jpg
26,Black Cocktail Dress,Elegant black cocktail dress with fitted silhouette. Perfect for evening events.,dresses_formal,149.99,https://images.unsplash.com/photo-1585487000160-6ebcfceb0d03?w=600&auto=format,data\images\product_26.jpg
27,Navy Blue Tuxedo,Classic navy blue tuxedo with satin lapels. The ultimate formal attire.,formal_suits,349.99,https://images.unsplash.com/photo-1598808503746-f34faef0e719?w=600&auto=format,
28,Maxi Sundress,Flowing maxi sundress with vibrant pattern. Perfect for beach days or casual outings.,dresses_casual,69.99,https://images.unsplash.com/photo-1600073140561-82a93f891827?w=600&auto=format,
29,Brown Leather Wallet,Genuine leather wallet with multiple card slots and coin pocket.,accessories_wallets,49.99,https://images.unsplash.com/photo-1559563458-527698bf5295?w=600&auto=format,data\images\product_29.jpg
30,Silver Watch,Elegant silver watch with metal strap. Water-resistant and durable.,accessories_watches,159.99,https://images.unsplash.com/photo-1539874754764-5a96559165b0?w=600&auto=format,data\images\product_30.jpg
31,Red Baseball Cap,Adjustable cotton cap with embroidered logo. Perfect for casual outfits.,accessories_hats,29.99,https://images.unsplash.com/photo-1521369909029-2afed882baee?w=600&auto=format,data\images\product_31.jpg
32,Navy Blue Backpack,Durable backpack with multiple compartments. Perfect for daily use.,accessories_bags,79.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&auto=format,data\images\product_32.jpg
33,Patterned Scarf,Soft cotton scarf with geometric pattern. Adds style to any outfit.,accessories_scarves,34.99,https://images.unsplash.com/photo-1601106976699-3d7a4699d16c?w=600&auto=format,
34,Leather Belt,Classic leather belt with metal buckle. An essential accessory for any wardrobe.,accessories_belts,39.99,https://images.unsplash.com/photo-1594225739392-86dd3df75338?w=600&auto=format,
35,Black Fedora Hat,Stylish black fedora hat with ribbon trim. Adds sophistication to any outfit.,accessories_hats,59.99,https://images.unsplash.com/photo-1514327605112-b887c0e61c0a?w=600&auto=format,data\images\product_35.jpg
36,Leather Tote Bag,Spacious leather tote bag with inner pockets. Perfect for work or shopping.,accessories_bags,119.99,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=600&auto=format,data\images\product_36.jpg
37,Sunglasses,Classic UV-protective sunglasses with polarized lenses. Stylish and functional.,accessories_eyewear,89.99,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=600&auto=format,data\images\product_37.jpg
38,Gold Necklace,Delicate gold chain necklace with small pendant. Subtle elegance for any occasion.,accessories_jewelry,79.99,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&auto=format,data\images\product_38.jpg
39,Wireless Headphones,Premium wireless headphones with noise cancellation. Long battery life.,electronics_audio,199.99,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=600&auto=format,data\images\product_39.jpg
40,Smartwatch,Feature-rich smartwatch with fitness tracking and notifications. Water-resistant.,electronics_wearables,249.99,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=600&auto=format,data\images\product_40.jpg
